...1,Unnamed: 0,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,dem_2p_prev,dem_2p_prev2,generic_ballot_avg,ics,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,urban,rural,urban_pct,rural_pct,dem_2p_12,demo_cluster,district_id,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,census_region,dem_scandal_score,rep_scandal_score,net_scandal_score,Year,Geography,dem_stand,rep_stand,inc_dummy,polarization,shave,dem_over_under,rep_over_under,dem_funds_2p_pct_sqrd,effn,sqrt_effn,poll_margin,dem_pct_2p_offset,baseline,funds_pct_margin,y_pred,y_act,y_pred_sd,fund_chances,abs_err,err,z,in_95_ci,in_68_ci,index
1933,1933,2024,Alabama,AL,FALSE,AL-01,70929,258619,329854,Tom Holmes,Barry Moore,False,True,3076.82,649617.39,329548,21.523116511100053,78.47688348889996,3076.82,649617.39,652694.21,0.4714029867064395,99.52859701329358,0,0,0,0,1,-27.729089817651893,-28.56301004344668,22.11789870418677,24.54074510655457,-0.8352436655714882,71.8,77.44116832161019,1.037832813463584,3.181960370731184,15.563380911097804,0.4820935408045617,24.14,388657,329097,54.149053854106,45.85094614589399,NA,1,AL01,FALSE,FALSE,FALSE,TRUE,0,1,-27.93756987410059,East South Central,0,0,0,2024,AL-01,Tom Holmes,Barry Moore,-1,0.9828210320037504,2.15,0,-4.419819791210564,0.22222077587575156,0,0,0,-28.476883488899947,-55.03989608262969,-99.05719402658714,22.133166238351595,21.523116511100053,3.7986320442014017,0,0.6100497272515426,0.6100497272515426,0.1605972150376558,TRUE,TRUE,1
1934,1934,2024,Alabama,AL,FALSE,AL-02,158041,131414,289674,Shomari Figures,Caroleene Dobson,False,False,1875364.5,1226100.44,289455,54.59950596811248,45.40049403188751,1875364.5,1226100.44,3101464.94,60.46705464289401,39.53294535710599,49.4459430309752,1.0378231119670718,41.04029130609538,1.0378231119670718,2,3.987437591502165,4.245076081857178,54.155935459620494,56.25727251570864,-0.8352436655714882,71.8,44.148607273820936,1.2867142272709442,2.1193050099286967,50.20744717615917,0.368566662370147,25.27,503557,214197,70.15732409711404,29.842675902885947,NA,3,AL02,FALSE,FALSE,FALSE,FALSE,0,0,4.051847214090918,East South Central,0,0,0,2024,AL-02,Shomari Figures,Caroleene Dobson,0,0.9828210320037504,2.15,0,0,3656.2646971867302,1.0378231119670718,1.0187360364525602,-8.405651724879824,4.5995059681124815,8.938938093753324,20.934109285788026,54.556164688213855,54.59950596811248,3.8766304477118694,88.25,0.043341279898626794,-0.043341279898626794,-0.01118014226097007,TRUE,TRUE,2
1935,1935,2024,Alabama,AL,FALSE,AL-06,102504,243741,346625,Elizabeth Anderson,Gary Palmer,False,True,186789.39,1046435.31,346245,29.60447082268336,70.39552917731665,186789.39,1046435.31,1233224.7000000002,15.14641978870517,84.85358021129483,0,0,0,0,6,-21.50977565339792,-24.893037772858136,30.514343953765792,30.76005927080855,-0.8352436655714882,71.8,75.9289889859786,1.3338234229417627,2.767521167601364,18.102313631359795,0.1427571624554232,37.79,460268,257487,64.12605972790159,35.87394027209842,NA,1,AL06,FALSE,FALSE,FALSE,TRUE,0,1,-22.355591183262973,East South Central,0,0,0,2024,AL-06,Elizabeth Anderson,Gary Palmer,-1,0.9828210320037504,2.15,0,0,229.41403241567957,0,0,0,-20.39552917731664,-43.87593870095446,-69.70716042258964,28.020638923382197,29.60447082268336,3.706210530971762,0,1.5838318993011633,-1.5838318993011633,-0.42734536693626124,TRUE,TRUE,3
1936,1936,2024,Alabama,AL,FALSE,AL-07,186723,106312,293220,Terri Sewell,Robin Litaker,True,False,972896.99,19175.59,293035,63.720374699268,36.27962530073199,972896.99,19175.59,992072.58,98.06711823443402,1.9328817655659831,0,0,0,0,7,12.303187225051424,12.248327179292971,61.78804679308384,64.5730221492579,-0.8352436655714882,71.8,42.70283254055195,0.8656299245553569,1.8631878910074209,52.55794825509243,0.1746909244425357,25.62,497361,220393,69.29407568609858,30.705924313901424,NA,3,AL07,FALSE,FALSE,TRUE,FALSE,1,0,12.28947221361181,East South Central,0,0,0,2024,AL-07,Terri Sewell,Robin Litaker,1,0.9828210320037504,2.15,2.7813876745594435,0,9617.159678806462,0,0,0,13.720374699268,25.41418809279511,96.13423646886804,65.19527019478691,63.720374699268,3.7003526278332806,99.97500000000001,1.4748954955189149,1.4748954955189149,0.3985824173688363,TRUE,TRUE,4
1937,1937,2024,Alaska,AK,FALSE,AK-00,156985,164861,321846,Mary Peltola,Nick Begich,True,False,10800004.13,2309088.23,321846,48.776433449537976,51.22356655046202,10800004.13,2309088.23,13109092.36,82.38559797590746,17.614402024092534,0,0,0,0,0,-7.5316836480557825,-9.498943641780947,43.153437457625024,44.73815127615069,-0.8352436655714882,71.8,64.4639480048031,6.481397278121224,6.05138274633968,3.0774712844201857,12.640422850716105,30.75,475967,257424,64.89948744939602,35.10051255060397,NA,1,AK00,FALSE,FALSE,TRUE,FALSE,1,0,-8.023498646487074,Pacific,0,0,0,2024,AK-00,Mary Peltola,Nick Begich,1,0.9828210320037504,2.15,27.56436000690177,0,6787.386753847847,0,0,0,-1.2235665504620243,-15.21175362740266,64.77119595181492,49.49827880403804,48.776433449537976,3.756578626896254,44.6875,0.7218453545000614,0.7218453545000614,0.19215499692507745,TRUE,TRUE,5
1938,1938,2024,Arizona,AZ,FALSE,AZ-01,208966,225538,434504,Amish Shah,David Schweikert,False,True,5303935.32,1753393.57,434504,48.09299799311399,51.90700200688602,5303935.32,1753393.57,7057328.890000001,75.15499706291851,24.845002937081482,48,0.1067379152836327,47.35882347506259,0.1067379152836327,1,-1.5175915449112196,-3.392517884972733,48.43158203593082,50.75224337929525,-0.8352436655714882,71.8,76.78919911119698,3.327858822013976,12.79280584806621,3.238334460438605,1.2216210994106849,50.61,776606,18005,97.73411140797197,2.265888592028049,NA,0,AZ01,FALSE,FALSE,FALSE,TRUE,0,1,-1.986323129926598,Mountain,0,0.2231301601484298,-0.2231301601484298,2024,AZ-01,Amish Shah,David Schweikert,-1,0.9828210320037504,2.15,0,4.678772597075209,5648.27358352729,0.1067379152836327,0.3267076908853428,-0.6411765249374071,-1.9070020068860103,-3.1374025942817076,50.30999412583703,48.444040852600544,48.09299799311399,3.672584821922083,33.525,0.35104285948655445,0.35104285948655445,0.09558468395097074,TRUE,TRUE,6
1939,1939,2024,Arizona,AZ,FALSE,AZ-02,184963,221413,406431,Jonathan Nez,Eli Crane,False,True,5320391.09,8412660.34,406376,45.51523712030238,54.48476287969763,5320391.09,8412660.34,13733051.43,38.74150706504709,61.25849293495291,42,0.4707924306497237,42,0.4707924306497237,2,-6.26922897438012,-6.610438657981568,42.43987629616154,46.00060594982635,-0.8352436655714882,71.8,61.65272226886983,1.196314331039111,14.154285795303275,2.311025972655222,17.555290548108566,25.05,452031,342581,56.88700900565308,43.11299099434693,NA,1,AZ02,FALSE,FALSE,FALSE,TRUE,0,1,-6.354531395280482,Mountain,0,0,0,2024,AZ-02,Jonathan Nez,Eli Crane,-1,0.9828210320037504,2.15,0,6.561217930979122,1500.9043696710935,0.4707924306497237,0.6861431560904209,0,-4.4847628796976196,-11.873819124989476,-22.516985869905824,44.01621382643127,45.51523712030238,3.772432975327659,5.6875,1.4990232938711117,-1.4990232938711117,-0.397362472355367,TRUE,TRUE,7
1940,1940,2024,Arizona,AZ,FALSE,AZ-03,143336,53705,202065,Yassamin Ansari,Jeff Zink,False,False,1976336.45,25347.0,197041,72.7442511964515,27.255748803548503,1976336.45,25347,2001683.45,98.7337158630152,1.2662841369847966,0,0,0,0,3,23.459129498606195,25.77530163931537,70.15369690513782,75.72896442281267,-0.8352436655714882,71.8,29.427764455102583,2.75406341593392,50.881961097788434,11.967386091127098,2.200266453503864,18.02,793879,733,99.90775372131304,0.0922462786869566,NA,5,AZ03,FALSE,FALSE,FALSE,FALSE,0,0,24.03817253378349,Mountain,0,0,0,2024,AZ-03,Yassamin Ansari,Jeff Zink,0,0.9828210320037504,2.15,0,0,9748.34664811862,0,0,0,22.7442511964515,48.91158873313847,97.46743172603041,74.80081583627205,72.7442511964515,3.724760147460103,100,2.05656463982055,2.05656463982055,0.552133441725882,TRUE,TRUE,8
1941,1941,2024,Arizona,AZ,FALSE,AZ-04,176428,152052,334545,Greg Stanton,Kelly Cooper,True,False,1959812.31,607197.81,328480,53.71042377009256,46.28957622990745,1959812.31,607197.81,2567010.12,76.34610766552022,23.65389233447977,0,0,0,0,4,2.982997896148653,0.2404706735989137,53.38133654003315,55.25283282035512,-0.8352436655714882,71.8,64.4137778571368,4.360040473093045,20.664404934996472,5.171372939145813,1.7296295351546225,37.21,793835,776,99.90234215232358,0.0976578476764102,NA,6,AZ04,FALSE,FALSE,TRUE,FALSE,1,0,2.2973660905112183,Mountain,0,0,0,2024,AZ-04,Greg Stanton,Kelly Cooper,1,0.9828210320037504,2.15,9.207938559045823,0,5828.728155675206,0,0,0,3.710423770092561,5.4299758465939245,52.69221533104045,55.66987572299696,53.71042377009256,3.3010667902195863,95.6625,1.959451952904402,1.959451952904402,0.5935814321327499,TRUE,TRUE,9
1942,1942,2024,Arizona,AZ,FALSE,AZ-05,167680,255628,423308,Katrina Schaffner,Andy Biggs,False,True,65924.25,1283197.96,423308,39.61181928997326,60.38818071002674,65924.25,1283197.96,1349122.21,4.886455023225805,95.1135449767742,0,0,0,0,5,-10.58864813540854,-12.68503102999599,39.90355348397706,41.68118678879793,-0.8352436655714882,71.8,72.35594115327287,4.749045846172356,15.303557941032958,3.532708593734334,0.7024978443810199,39.69,786268,8344,98.94992776348708,1.0500722365129145,NA,0,AZ05,FALSE,FALSE,FALSE,TRUE,0,1,-11.112743859055405,Mountain,0,0,0,2024,AZ-05,Katrina Schaffner,Andy Biggs,-1,0.9828210320037504,2.15,0,3.2606277379980284,23.877442694008703,0,0,0,-10.388180710026738,-21.39024405253932,-90.22708995354839,37.7447494197246,39.61181928997326,3.673582827174498,0.025,1.8670698702486632,-1.8670698702486632,-0.5082422142322303,TRUE,TRUE,10
