ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,766987,456512,131370,149986,12466,21274,1024,770178,465144,131932,152702,12822,12584,1376,585465,369670,83739,108939,8862,15937,719,559898,376302,60281,107278,5890,9591,352,102829,4468,1036,352,276348,73502,198719,324129,89143,231048,325730,80850,241942,68563,152885,127446,44470,75272,27929,5871,4467
2,2,766987,377278,219272,101564,56906,21624,2454,772866,387710,226539,103512,52740,11549,1865,565217,297654,145819,69485,41253,15528,1683,523181,292082,118616,75599,31248,4483,475,71460,28287,630,475,272501,97814,168919,330840,127510,198586,337080,127854,204811,44666,101642,107694,39856,135289,53064,9278,7126
3,3,766987,415627,149552,94200,91019,23390,1771,774007,434473,147047,97760,86824,11999,1821,559537,323213,96391,63626,62400,16566,1156,554035,347621,80167,69671,49569,5552,439,66267,46580,1171,439,275070,103182,165424,338661,136761,195871,370352,136992,223427,43320,108394,100918,40526,136552,56890,8453,6321
4,4,766987,440182,94705,80321,130942,23651,1592,777000,457170,97727,81095,130136,13554,1631,576718,350322,63059,56851,89994,16573,1038,546792,368184,53115,56437,59699,7206,475,52309,56242,1627,475,290307,108931,175513,356596,143877,207432,367744,134682,225235,33034,96855,96731,39135,157071,80510,12412,8772
5,5,766987,362141,228669,134474,29658,23947,1265,767409,365616,230134,136654,28366,16505,1437,575347,295704,150962,95060,22003,17681,879,525813,296602,106968,97419,16346,7776,325,91921,14353,1705,325,240195,95035,140690,285087,117612,163853,293398,113124,176352,79042,144557,117756,39634,82158,31570,6302,4687
6,6,766987,359233,243041,105042,44858,25215,3124,769123,363665,246906,106690,45871,14406,3512,576920,292573,162723,74277,33913,18328,2012,512413,292069,116637,76415,20194,5912,860,73186,18290,843,860,251592,93682,152480,299767,118506,176747,309826,116800,187669,75809,126791,108225,39015,99013,38241,5510,4287
7,7,766987,215919,269732,133284,146116,17395,1498,775496,220660,275407,140324,142876,10410,1445,592451,184825,194592,97504,112111,12829,1052,458352,178199,105877,87996,82099,2255,433,84409,78516,469,433,230811,147431,78287,277197,180252,92917,254110,153127,93619,86779,82871,72248,29612,138437,67784,26446,15291
8,8,766987,297571,261846,142464,57751,22603,1516,768165,309717,254200,151673,53424,13934,1546,572866,240465,179318,100738,44499,16458,1039,520377,256259,130863,96622,30829,4775,320,91778,29099,795,320,230531,90659,135516,286810,115154,167935,308330,109560,194738,64425,122560,107506,39002,105630,36164,7323,5063
9,9,766987,192417,476484,80038,14619,22544,1059,767694,185158,494149,76692,13588,12678,920,555835,157067,325886,56937,11006,16542,742,431258,148177,219999,51976,7580,2913,161,48990,6864,577,161,171862,80136,88734,208344,93941,111907,198594,78639,118132,126861,151110,92770,33639,43323,14106,2556,1680
