,state_po,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,state,urban,rural,total,urban_pct,rural_pct
0,AL,67.98893411120808,1.0253291215209122,2.7777055468820695,25.74205110549675,0.2946933867818848,28.36978719557729,Alabama,2900880,2123399,29008802123399,9.999999268015622e-06,7.319843787300785e-06
1,AK,64.4639480048031,6.481397278121224,6.05138274633968,3.0774712844201857,12.640422850716105,31.669629315546565,Alaska,475967,257424,475967257424,9.999994591560743e-05,5.408439256792871e-05
2,AZ,61.913244434560674,2.9262930053259626,24.34606886261511,4.451431112967655,3.3286702673950264,33.33559325364658,Arizona,6385230,766272,6385230766272,9.999998799930608e-05,1.2000693914581662e-05
3,AR,76.10113382622382,1.1883692092602858,4.906063621609708,14.703453127539309,0.37227257244755524,25.731604742100224,Arkansas,1670677,1340847,16706771340847,9.999999197423024e-06,8.02576974715464e-06
4,CA,42.658592059086544,15.153477507010638,32.366808025489206,6.278721821748288,0.31790715624782,37.082883331437294,California,37259490,2278733,372594902278733,9.99999993884154e-06,6.115845885339869e-07
5,CO,73.31712886000474,2.76503176909498,16.968085790333156,3.7419153669105447,0.40019048598724827,45.698089740844544,Colorado,4966936,806778,4966936806778,9.999998375703112e-05,1.6242968883740407e-05
6,CT,70.70244754837782,3.528852099923443,13.726425915544993,9.853234205377495,0.0951430130147682,42.47513489476173,Connecticut,3110153,495791,3110153495791,9.999998405895398e-05,1.5941046018177515e-05
7,DE,66.18528125384432,3.0071429132302248,6.8483236794509725,21.10784516446499,0.148276304321083,35.76462843201797,Delaware,817817,172131,817817172131,9.999997895238621e-05,2.1047613802419353e-05
8,FL,59.123536680874665,2.558972426577137,21.89372462367998,14.26608157177248,0.1124025839123292,34.14672426117178,Florida,19714806,1823381,197148061823381,9.999999907512102e-06,9.248789884799942e-07
9,GA,55.666281106380175,3.3628115488367714,6.32504799931993,32.062869216946716,0.1037081437122997,34.94532000166852,Georgia,7933986,2777922,79339862777922,9.999999649870582e-06,3.5012941826930103e-06
10,HI,24.67912884251212,46.13432636259413,8.214396458777243,1.9809378588612596,0.12498210138722546,36.13862203054367,Hawaii,1252450,202821,1252450202821,9.999998380606274e-05,1.6193937255402974e-05
11,ID,85.5932191378934,1.1776936224974277,9.42984010181781,0.5861185361138591,0.7487520798668885,31.800482715725813,Idaho,1273437,565669,1273437565669,9.999995557936916e-05,4.442063083813819e-05
12,IL,65.66679362303721,4.802985996243206,13.392596010022222,14.070002071470572,0.08245200543420178,37.848152002668186,Illinois,11137590,1674918,111375901674918,9.999999849615762e-06,1.5038423705773631e-06
13,IN,82.07508147093931,1.6355409083997308,5.290090211859226,8.624798372469531,0.07447919720688102,29.47427809027146,Indiana,4829686,1955842,48296861955842,9.999999595037459e-06,4.04962542243062e-06
14,IA,88.84751403066741,1.6967377307497395,4.401391079741048,3.028533257310705,0.16857374019994567,31.423453066617025,Iowa,2014831,1175538,20148311175538,9.99999941655755e-06,5.834424482321957e-06
15,KS,80.20380502892726,2.23509960922768,8.765321568467611,5.263831049182217,0.44329069553350187,35.6032687480929,Kansas,2124059,813821,2124059813821,9.999996168558932e-05,3.8314410672645155e-05
16,KY,86.69385432194649,1.0184053155560207,2.57314607108201,7.237691696927705,0.09383298023481174,27.552684010819817,Kentucky,2644856,1860980,26448561860980,9.999999296377622e-06,7.036223783288325e-06
17,LA,60.71105526166248,1.4418531081389832,4.37063920279794,30.799193893272875,0.4216828649595482,27.044225528699545,Louisiana,3332237,1325520,33322371325520,9.999999602213185e-06,3.977868162656384e-06
18,ME,94.24977046290654,0.8978647440897004,1.6894648083511112,0.9300852002200685,0.34230868991984376,36.18962241169306,Maine,526309,836050,526309836050,9.999984114870314e-05,0.00015885129684723852
19,MD,53.98673197997507,5.521317848318344,7.096428417037982,30.40346124623243,0.133015171243736,43.44641837941011,Maryland,5288760,888464,5288760888464,9.999998320090435e-05,1.679909564332817e-05
20,MA,76.55451178720264,5.408368009944034,9.635047908424262,6.371987247180157,0.08872505165605872,47.27900977322007,Massachusetts,6416895,613022,6416895613022,9.999999044675124e-05,9.553248750937695e-06
21,MI,77.70910243051587,2.333007783791553,4.1488948191893495,12.968600256737734,0.319413096237453,32.44588326729216,Michigan,7404258,2673073,74042582673073,9.999999638981663e-06,3.6101833613809284e-06
22,MN,83.53455526327438,4.075415135016006,3.890769408992402,5.385523888099321,0.6950232773227171,39.40369198398265,Minnesota,4101754,1604740,41017541604740,9.999999608767387e-06,3.9123261346666276e-06
23,MS,58.700711824661134,0.8009884078127426,2.177017717975204,35.985155879023566,0.3751088666392109,25.13454067554782,Mississippi,1370790,1590489,13707901590489,9.99999883972832e-06,1.1602716794403706e-05
24,MO,81.6935973664409,1.5269811339276453,3.5093421266595786,10.552951806431869,0.18265130566127286,32.39843841140294,Missouri,4275663,1879250,42756631879250,9.99999956047754e-06,4.395224594180462e-06
25,MT,87.93757123786588,0.6759634114285911,3.5050464818107416,0.40254774730515686,4.655182902682618,35.161353908537954,Montana,579177,505048,579177505048,9.999991279909948e-05,8.720090051807926e-05
26,NE,83.91326273323247,1.7502912201114804,7.4758165302688555,4.114779270361891,0.5497641594507027,34.57763320798825,Nebraska,1432003,529501,1432003529501,9.999996302376432e-05,3.697623567900782e-05
27,NV,54.93625445688114,9.390122364098856,21.269621970130352,9.671971749400052,0.6721750299524,27.889601564986645,Nevada,2921203,183411,2921203183411,9.999999372138848e-05,6.2786115338213676e-06
28,NH,91.58582701576418,1.9360961207782235,3.352637517528776,1.1343686576472327,0.0742607272504425,40.64601772516284,New Hampshire,803420,574109,803420574109,9.999992854190962e-05,7.145809038269795e-05
29,NJ,60.289182933711835,8.032127015923775,16.694807492967126,13.080393856549088,0.07135848304081951,43.62785331498243,New Jersey,8708779,580215,8708779580215,9.999999333758542e-05,6.662414574347004e-06
30,NM,43.07585632346342,1.318728154520972,42.67321384539018,1.9060814208244836,8.797100768136778,30.978324089013697,New Mexico,1578552,538970,1578552538970,9.999996585669552e-05,3.414330449537499e-05
31,NY,60.55285735869218,7.4871636641068315,15.557076878061881,14.221754796827465,0.1986290089244802,40.2265604846166,New York,17665166,2536083,176651662536083,9.99999985643594e-06,1.4356406068252983e-06
32,NC,67.40431179344232,2.3487646224078746,5.898265822182202,21.00125447066605,0.8509079085841852,35.65176624893467,North Carolina,6964727,3474661,69647273474661,9.999999501105955e-06,4.988940451867291e-06
33,ND,87.59351320874073,0.8692946628711306,3.3881348240438958,2.1222685204285106,3.7240260186751377,32.69329281950896,North Dakota,474989,304105,474989304105,9.999993597645307e-05,6.402354692449565e-05
34,OH,80.92535580623453,1.7088815144889986,3.2913256043935553,11.48690254995166,0.07660607294894525,31.48718436267798,Ohio,9001099,2798349,90010992798349,9.999999689110307e-06,3.1088969391428907e-06
35,OK,69.82894376795731,1.9135654672321794,7.614208510056095,6.928170748392393,6.638938295252428,28.347181603751494,Oklahoma,2558611,1400742,25586111400742,9.999999452538145e-06,5.474618546214015e-06
36,OR,79.95399252471937,3.973936154975695,9.592726733780621,1.773137313756285,0.6779377093159533,36.806773030056014,Oregon,3410984,826272,3410984826272,9.999997577614553e-05,2.4223854460914304e-05
37,PA,79.21077724800966,2.6950548399832517,6.241451721430693,9.94365376300932,0.05486959637117827,35.16293301074018,Pennsylvania,9941070,3061630,99410703061630,9.999999692022096e-06,3.07977904361257e-06
38,RI,77.68661726901558,2.5703311658853774,11.718977771057009,5.51664902464842,0.17674277937396038,37.744019208957376,Rhode Island,999191,98188,99919198188,0.0009999990173259815,9.826740184129308e-05
39,SC,67.144995590565,1.3783474794392636,4.124392954481063,24.827438457455937,0.19662887721020433,32.12915254993231,South Carolina,3477869,1640556,34778691640556,9.999999528287029e-06,4.7171297211391385e-06
40,SD,85.99282096612356,0.9317215347125997,2.6997527354388646,1.4941886855559272,6.152199101724879,31.902488794956817,South Dakota,507347,379320,507347379320,9.999992523465864e-05,7.476534135416335e-05
41,TN,77.26149921360505,1.3843849655917848,3.5211955098999326,15.464693359042897,0.10241995822448567,31.057464278601245,Tennessee,4577282,2333558,45772822333558,9.999999490186997e-06,5.098130027890305e-06
42,TX,48.28671809868194,4.530330918717972,31.642337452908155,13.173479708965575,0.1806154304301135,33.82333355682376,Texas,24400697,4744808,244006974744808,9.999999805546215e-06,1.944537857969964e-06
43,UT,82.49320293441214,2.754742671606813,10.560217855225776,0.9636777034428282,0.7169758622344998,37.6808427494765,Utah,2937303,334313,2937303334313,9.999998861836992e-05,1.138163008548083e-05
44,VT,93.22092691219,1.2476116190779172,2.220403720220699,1.0088214382221439,0.12150318993784939,43.788323170993166,Vermont,225850,417227,225850417227,9.999981526401185e-05,0.00018473598814769924
45,VA,65.00701264470928,5.746010255111016,7.024544099705291,19.143406938144178,0.13473433631032355,42.16088145869336,Virginia,6528313,2103080,65283132103080,9.999999677852466e-06,3.2214753371197067e-06
46,WA,73.39395397247102,8.126112613751015,9.245572874174501,3.6874968319781516,0.8447222412776187,39.613076456437916,Washington,6424035,1281246,64240351281246,9.999999800554328e-06,1.9944567152048565e-06
47,WV,92.49006584922797,0.5794448228882834,1.594573115349682,3.2166070617620344,0.07840883287920072,24.13256659838493,West Virginia,800857,992859,800857992859,9.999987602558644e-05,0.00012397441354809627
48,WI,84.99098004422187,2.1281635050391663,4.915193325832057,5.393327563462109,0.5541606890638002,33.384024724065256,Wisconsin,3953691,1940027,39536911940027,9.999999509312463e-06,4.9068753850649746e-06
49,WY,86.90346406475703,0.6359416023911405,7.776884431241085,0.7840251469479346,1.472659053537198,30.555060997780757,Wyoming,357750,219101,357750219101,9.99999387558726e-05,6.124412741118222e-05
